9.997: [GC [PSYoungGen: 51808K->64K(49920K)] 53546K->1802K(92224K), 0.0007220 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
10.125: [GC [PSYoungGen: 49920K->64K(48576K)] 51658K->1802K(90880K), 0.0005070 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
10.248: [GC [PSYoungGen: 48064K->32K(46272K)] 49802K->1770K(88576K), 0.0008060 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
10.367: [GC [PSYoungGen: 46240K->0K(45056K)] 47978K->1738K(87360K), 0.0004920 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
10.481: [GC [PSYoungGen: 44544K->64K(43008K)] 46282K->1802K(85312K), 0.0007090 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
10.591: [GC [PSYoungGen: 43008K->64K(41856K)] 44746K->1802K(84160K), 0.0004510 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
10.697: [GC [PSYoungGen: 41472K->96K(40064K)] 43210K->1834K(82368K), 0.0006630 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
10.800: [GC [PSYoungGen: 40032K->64K(38592K)] 41770K->1802K(80896K), 0.0005460 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
10.900: [GC [PSYoungGen: 38592K->96K(37312K)] 40330K->1834K(79616K), 0.0006210 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
10.995: [GC [PSYoungGen: 37280K->64K(36288K)] 39018K->1802K(78592K), 0.0004110 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.087: [GC [PSYoungGen: 35968K->64K(34752K)] 37706K->1802K(77056K), 0.0004320 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.176: [GC [PSYoungGen: 34752K->64K(33856K)] 36490K->1802K(76160K), 0.0003830 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.263: [GC [PSYoungGen: 33600K->32K(32512K)] 35338K->1770K(74816K), 0.0005870 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
11.347: [GC [PSYoungGen: 32480K->32K(31616K)] 34218K->1770K(73920K), 0.0005350 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.427: [GC [PSYoungGen: 31392K->96K(30464K)] 33130K->1834K(72768K), 0.0004530 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.507: [GC [PSYoungGen: 30432K->64K(36800K)] 32170K->1802K(79104K), 0.0045520 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.605: [GC [PSYoungGen: 36800K->96K(44608K)] 38538K->1834K(86912K), 0.0006110 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.720: [GC [PSYoungGen: 44576K->64K(53440K)] 46314K->1802K(95744K), 0.0005210 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.857: [GC [PSYoungGen: 53440K->96K(51456K)] 55178K->1834K(93760K), 0.0005670 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
11.988: [GC [PSYoungGen: 51424K->64K(49664K)] 53162K->1802K(91968K), 0.0005280 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
12.115: [GC [PSYoungGen: 49472K->64K(47616K)] 51210K->1802K(89920K), 0.0004930 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
12.236: [GC [PSYoungGen: 47616K->64K(46016K)] 49354K->1802K(88320K), 0.0003630 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
12.354: [GC [PSYoungGen: 45888K->32K(44224K)] 47626K->1770K(86528K), 0.0005270 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
12.467: [GC [PSYoungGen: 44192K->32K(42752K)] 45930K->1770K(85056K), 0.0005160 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
12.578: [GC [PSYoungGen: 42592K->64K(41088K)] 44330K->1802K(83392K), 0.0005880 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
12.685: [GC [PSYoungGen: 41088K->32K(39744K)] 42826K->1770K(82048K), 0.0004860 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
12.787: [GC [PSYoungGen: 39584K->96K(38272K)] 41322K->1834K(80576K), 0.0005380 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
12.886: [GC [PSYoungGen: 38240K->96K(36928K)] 39978K->1834K(79232K), 0.0006090 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
12.981: [GC [PSYoungGen: 36896K->64K(35584K)] 38634K->1802K(77888K), 0.0005650 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
13.073: [GC [PSYoungGen: 35584K->64K(34496K)] 37322K->1802K(76800K), 0.0005080 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
13.162: [GC [PSYoungGen: 34368K->96K(33280K)] 36106K->1834K(75584K), 0.0005850 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
13.324: [GC [PSYoungGen: 33248K->32K(32128K)] 34986K->1770K(74432K), 0.0007090 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
13.458: [GC [PSYoungGen: 32096K->64K(31104K)] 33834K->1802K(73408K), 0.0004800 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
13.538: [GC [PSYoungGen: 31104K->96K(30208K)] 32842K->1834K(72512K), 0.0004530 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
13.616: [GC [PSYoungGen: 30112K->32K(29120K)] 31850K->1770K(71424K), 0.0007290 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
13.691: [GC [PSYoungGen: 29088K->32K(28352K)] 30826K->1770K(70656K), 0.0005230 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
13.763: [GC [PSYoungGen: 28192K->32K(27328K)] 29930K->1770K(69632K), 0.0004600 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
13.833: [GC [PSYoungGen: 27296K->64K(26624K)] 29034K->1802K(68928K), 0.0003780 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
13.901: [GC [PSYoungGen: 26496K->32K(25728K)] 28234K->1770K(68032K), 0.0004890 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
13.968: [GC [PSYoungGen: 25696K->32K(25024K)] 27434K->1770K(67328K), 0.0005450 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
14.032: [GC [PSYoungGen: 24928K->64K(24256K)] 26666K->1802K(66560K), 0.0005390 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
14.094: [GC [PSYoungGen: 24256K->32K(23616K)] 25994K->1770K(65920K), 0.0004730 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
14.154: [GC [PSYoungGen: 23520K->32K(22912K)] 25258K->1770K(65216K), 0.0004390 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
