18.868: [GC [PSYoungGen: 48032K->32K(46272K)] 49769K->1769K(88576K), 0.0007440 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
19.099: [GC [PSYoungGen: 46240K->32K(45120K)] 47977K->1769K(87424K), 0.0005580 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
19.321: [GC [PSYoungGen: 44576K->32K(43008K)] 46313K->1769K(85312K), 0.0006850 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
19.567: [GC [PSYoungGen: 42976K->32K(41920K)] 44713K->1769K(84224K), 0.0006500 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
19.794: [GC [PSYoungGen: 41440K->32K(40000K)] 43177K->1769K(82304K), 0.0006790 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
20.020: [GC [PSYoungGen: 39968K->32K(38976K)] 41705K->1769K(81280K), 0.0004410 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
20.224: [GC [PSYoungGen: 38560K->32K(37248K)] 40297K->1769K(79552K), 0.0005970 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
20.435: [GC [PSYoungGen: 37216K->32K(36288K)] 38953K->1769K(78592K), 0.0004680 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
20.638: [GC [PSYoungGen: 35936K->32K(34752K)] 37673K->1769K(77056K), 0.0005910 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
20.835: [GC [PSYoungGen: 34720K->32K(33856K)] 36457K->1769K(76160K), 0.0004060 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.025: [GC [PSYoungGen: 33568K->32K(32512K)] 35305K->1769K(74816K), 0.0005620 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.209: [GC [PSYoungGen: 32480K->32K(31680K)] 34217K->1769K(73984K), 0.0004320 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.387: [GC [PSYoungGen: 31392K->32K(30400K)] 33129K->1769K(72704K), 0.0008010 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.559: [GC [PSYoungGen: 30368K->32K(29632K)] 32105K->1769K(71936K), 0.0008570 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.726: [GC [PSYoungGen: 29408K->32K(28544K)] 31145K->1769K(70848K), 0.0006970 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.888: [GC [PSYoungGen: 28512K->32K(27840K)] 30249K->1769K(70144K), 0.0005050 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
22.045: [GC [PSYoungGen: 27616K->32K(26816K)] 29353K->1769K(69120K), 0.0004640 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
22.196: [GC [PSYoungGen: 26784K->32K(26112K)] 28521K->1769K(68416K), 0.0004910 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
22.343: [GC [PSYoungGen: 25952K->32K(25216K)] 27689K->1769K(67520K), 0.0006470 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
22.486: [GC [PSYoungGen: 25184K->32K(24576K)] 26921K->1769K(66880K), 0.0004270 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
22.625: [GC [PSYoungGen: 24416K->32K(23744K)] 26153K->1769K(66048K), 0.0005870 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
22.810: [GC [PSYoungGen: 23712K->32K(23104K)] 25449K->1769K(65408K), 0.0004030 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
22.918: [GC [PSYoungGen: 23008K->32K(22400K)] 24745K->1769K(64704K), 0.0004890 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
23.023: [GC [PSYoungGen: 22368K->32K(21824K)] 24105K->1769K(64128K), 0.0005080 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
23.125: [GC [PSYoungGen: 21728K->32K(21184K)] 23465K->1769K(63488K), 0.0004580 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
23.224: [GC [PSYoungGen: 21152K->32K(20672K)] 22889K->1769K(62976K), 0.0004070 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
23.321: [GC [PSYoungGen: 20576K->32K(20032K)] 22313K->1769K(62336K), 0.0005840 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
23.415: [GC [PSYoungGen: 20000K->32K(19584K)] 21737K->1769K(61888K), 0.0003470 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
23.507: [GC [PSYoungGen: 19488K->32K(19008K)] 21225K->1769K(61312K), 0.0005160 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
23.596: [GC [PSYoungGen: 18976K->32K(18560K)] 20713K->1769K(60864K), 0.0013840 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
23.684: [GC [PSYoungGen: 18464K->32K(18048K)] 20201K->1769K(60352K), 0.0004270 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
23.768: [GC [PSYoungGen: 18016K->32K(17664K)] 19753K->1769K(59968K), 0.0004550 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
23.851: [GC [PSYoungGen: 17568K->32K(17152K)] 19305K->1769K(59456K), 0.0010230 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
23.932: [GC [PSYoungGen: 17120K->32K(16832K)] 18857K->1769K(59136K), 0.0004010 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
24.011: [GC [PSYoungGen: 16736K->32K(16384K)] 18473K->1769K(58688K), 0.0004100 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
24.088: [GC [PSYoungGen: 16352K->32K(16000K)] 18089K->1769K(58304K), 0.0005240 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
24.163: [GC [PSYoungGen: 15968K->32K(15616K)] 17705K->1769K(57920K), 0.0004420 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
24.236: [GC [PSYoungGen: 15584K->32K(15232K)] 17321K->1769K(57536K), 0.0004230 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
24.308: [GC [PSYoungGen: 15200K->32K(14912K)] 16937K->1769K(57216K), 0.0006650 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
24.378: [GC [PSYoungGen: 14880K->32K(14592K)] 16617K->1769K(56896K), 0.0004310 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
24.447: [GC [PSYoungGen: 14560K->32K(14272K)] 16297K->1769K(56576K), 0.0004400 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
24.514: [GC [PSYoungGen: 14240K->32K(13952K)] 15977K->1769K(56256K), 0.0006440 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
24.579: [GC [PSYoungGen: 13920K->32K(13632K)] 15657K->1769K(55936K), 0.0004320 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
24.643: [GC [PSYoungGen: 13600K->32K(13376K)] 15337K->1769K(55680K), 0.0004360 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
24.706: [GC [PSYoungGen: 13344K->32K(13120K)] 15081K->1769K(55424K), 0.0004260 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
24.768: [GC [PSYoungGen: 13088K->32K(12864K)] 14825K->1769K(55168K), 0.0004000 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
24.828: [GC [PSYoungGen: 12832K->32K(12608K)] 14569K->1769K(54912K), 0.0003840 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
24.887: [GC [PSYoungGen: 12576K->32K(12352K)] 14313K->1769K(54656K), 0.0003850 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
24.945: [GC [PSYoungGen: 12320K->32K(12096K)] 14057K->1769K(54400K), 0.0004940 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
25.002: [GC [PSYoungGen: 12064K->32K(11840K)] 13801K->1769K(54144K), 0.0003740 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
25.058: [GC [PSYoungGen: 11808K->32K(11648K)] 13545K->1769K(53952K), 0.0004540 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
25.112: [GC [PSYoungGen: 11616K->32K(11456K)] 13353K->1769K(53760K), 0.0003870 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
25.166: [GC [PSYoungGen: 11424K->32K(11264K)] 13161K->1769K(53568K), 0.0003860 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
25.219: [GC [PSYoungGen: 11232K->32K(11072K)] 12969K->1769K(53376K), 0.0004280 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
25.271: [GC [PSYoungGen: 11040K->32K(10880K)] 12777K->1769K(53184K), 0.0006220 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
25.322: [GC [PSYoungGen: 10848K->32K(10688K)] 12585K->1769K(52992K), 0.0003880 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
25.372: [GC [PSYoungGen: 10656K->32K(10496K)] 12393K->1769K(52800K), 0.0003800 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
25.422: [GC [PSYoungGen: 10464K->32K(10304K)] 12201K->1769K(52608K), 0.0004430 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
25.470: [GC [PSYoungGen: 10272K->32K(10112K)] 12009K->1769K(52416K), 0.0004160 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
25.517: [GC [PSYoungGen: 10080K->32K(9920K)] 11817K->1769K(52224K), 0.0003950 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
25.565: [GC [PSYoungGen: 9888K->32K(9792K)] 11625K->1769K(52096K), 0.0004120 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
25.611: [GC [PSYoungGen: 9760K->32K(9664K)] 11497K->1769K(51968K), 0.0003640 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
